"","index","UNITID","UGDS_BLACK","UGDS_HISP","COMPL_RPY_5YR_RT","NPT4_PUB","ADM_RATE","RET_FT4","DEBT_MDN","PCTPELL","MD_EARN_WNE_P10","grad_total","C150_4_BLACK","C150_4_HISP"
"5906",5906,449676,0.72075847329413,0.935718122240844,NA,NA,NA,NA,-1.08734080856262,0.205395738755602,NA,NA,NA,NA
"5907",5907,449685,0.758140873483107,1.8153289986159,NA,-1.42898686164587,NA,NA,-1.74819983411185,-0.261982597204133,NA,NA,NA,NA
"5908",5908,449700,0.141776298938663,-0.588551389271192,-0.238985553530483,1.16779722655919,NA,NA,-0.337855097704411,-0.0845027556133623,NA,NA,NA,NA
"5909",5909,449719,0.0380846412716197,-0.628982941300689,-0.302464495686895,-0.331668052060272,NA,NA,-0.337855097704411,0.30055325980801,NA,NA,NA,NA
"5910",5910,449728,-0.726474448307697,-0.488820227598433,NA,-0.884814537442228,0.618077255054739,NA,1.62954489329839,0.339058861350148,NA,NA,NA,NA
"5911",5911,449746,-0.845297077479803,3.76412980643766,NA,-1.71902134610432,NA,NA,NA,2.07092574450398,NA,NA,NA,NA
"5912",5912,449764,-0.0108685018329932,-0.487472509197449,NA,1.85906775790297,-2.1613437756542,-1.15301189566697,1.53585917944111,-0.179660276665771,NA,0.224165084396344,-0.200730042670431,0.822195063548774
"5913",5913,449773,1.68869562104443,-0.0620427339537423,-1.28908071693047,-0.129424274780954,NA,NA,-0.560264982401585,1.02242264044279,NA,NA,NA,NA
"5914",5914,449782,1.03761881775308,0.394833803979574,NA,-0.648234839132852,NA,NA,-0.634464067776548,-0.00350821443852195,NA,NA,NA,NA
"5915",5915,449791,2.31485082420979,0.0529625695968269,-2.03451095217019,NA,NA,NA,-0.584998010859906,-0.299160419382748,NA,NA,NA,NA
"5916",5916,449807,-0.622782790640654,-0.59349302340813,-0.906397553201718,-0.300453578396583,NA,NA,-1.08734080856262,-0.326601192895536,NA,NA,NA,NA
"5917",5917,449816,-0.823045648795888,-0.23904308394954,NA,NA,NA,NA,NA,-1.87789008261038,NA,NA,NA,NA
"5918",5918,449852,-0.421629875338063,-0.514426877217114,0.0357491904481153,-0.839553550629879,NA,NA,-0.285297412230479,0.694018544531688,NA,NA,NA,NA
"5919",5919,449861,0.751020416304254,-0.337426527221316,-1.66333910196995,0.410195938680071,0.914350996747321,NA,-0.708850524579225,1.20078766827591,NA,NA,NA,NA
"5920",5920,449870,-0.807024620143469,1.5179324714656,NA,-0.242316621197962,NA,-0.65517116783371,-1.08734080856262,-0.990048281535349,NA,-0.372308537263081,NA,NA
"5921",5921,449898,0.20541538497466,0.438410032278031,-0.0253316286029371,0.966333811121464,NA,0.645143833817026,-0.337855097704411,0.338616268228974,-0.277888203651896,-1.88411348906842,-1.08849898010415,-1.10173140820995
"5922",5922,449904,-0.71801890540781,2.99413336000924,-1.73283780000669,-0.232692158484991,NA,NA,-0.525226525418964,1.1074005197082,-0.957254454749909,NA,NA,NA
"5923",5923,449922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5924",5924,449931,-0.249403817324561,-0.708947566425694,0.86916264056054,1.22801514866872,NA,1.49719772837354,1.32740846610867,-0.853729600213759,0.655382605937295,0.72132768826744,-1.53238344882101,NA
"5925",5925,449959,-0.158617988294188,0.179648099289251,0.114028131119449,-0.0681658702159638,NA,NA,-0.275460412275465,-0.314208585502664,-0.909218457197525,NA,NA,NA
"5926",5926,449968,-0.493279475700269,0.91999474089604,0.114028131119449,0.257245017727994,NA,NA,-0.275460412275465,-0.0747657069475346,-0.909218457197525,NA,NA,NA
"5927",5927,449977,0.509814929370616,-0.687384072009962,0.114028131119449,-0.0459255577305854,NA,NA,-0.275460412275465,-0.122565764034326,-0.909218457197525,NA,NA,NA
"5928",5928,449986,-0.554693418867874,0.784773661330722,NA,0.0395240639237633,NA,NA,-0.145237270013851,-0.250475176053609,NA,NA,NA,NA
"5929",5929,449995,0.533401443775566,-0.239941562883529,0.154757200581191,0.0892071011718017,NA,NA,-0.150483669989859,-0.471771736640605,-0.888631601103645,NA,NA,NA
"5930",5930,450003,-0.672625990892623,-0.59753617861108,-0.15222982500384,0.738338093069602,NA,NA,0.326657670685249,1.54822326839749,-0.42199619630905,NA,NA,NA
"5931",5931,450021,1.11460876099942,-0.481183156659528,-0.986063171362693,0.723121037158553,NA,NA,-0.569258810931883,1.10164680913293,-0.888631601103645,NA,NA,NA
"5932",5932,450049,-0.845297077479803,0.0143279754353076,-0.415273918729663,0.738988394604262,NA,-1.73110005088198,0.131416643006685,0.760407512707787,-0.373960198756665,-0.910843147369272,NA,0.822195063548774
"5933",5933,450058,0.65533927296342,-0.676602324802096,-1.05307997065321,0.231623137262383,NA,NA,-0.214658383982093,-0.332354903470797,-0.408271625579797,NA,NA,NA
"5934",5934,450067,1.28060441898143,-0.680645480005046,-1.05307997065321,1.5283243973748,NA,NA,-0.214658383982093,1.96470339542222,-0.408271625579797,NA,NA,NA
