"","X","index","UNITID","UGDS_BLACK","UGDS_HISP","COMPL_RPY_5YR_RT","NPT4_PUB","ADM_RATE","RET_FT4","DEBT_MDN","PCTPELL","MD_EARN_WNE_P10","grad_total","C150_4_BLACK","C150_4_HISP","resid"
"5664",5664,5664,445708,0.6762556159263,-0.465459775314723,0.989077630189781,1.13268094368754,-0.0175471859270878,0.155481187755153,1.44217346558384,-0.0552916096158791,0.168160345048821,1.67159971430608,0.647085297219017,-0.518781687267056,0.529742270143016
"1050",1050,1050,145619,-0.425190103927489,-0.255215704761339,1.03691896039094,0.518145993433662,0.384504418308405,0.106412697126823,0.727819897422105,-0.73068871252739,1.24553914729517,1.29119798496949,0.360218466851145,-0.321002045970259,0.524014457814179
"3083",3083,3083,207865,-0.590295704762138,-0.37651036084983,0.986878497902161,-0.65707894000423,0.771718403816159,-0.248311599707144,-0.313684183529234,-0.691740517864078,0.298543766976722,0.691719037654204,-0.452437707199344,-0.850081825703908,0.523484900212317
"1831",1831,1831,171146,-0.267649988845371,-0.559800063383549,0.708379508931509,-0.222677514851225,0.454863449049616,0.0522329053913761,1.44217346558384,-0.50231066200161,0.511274613280141,0.745765676613096,-0.589478546776196,-0.643836907931372,0.522572648930535
"3199",3199,3199,211556,-0.323278560555159,-0.577769642063326,1.25408159634374,-0.466150409427999,-0.805376877083779,0.330287685618578,1.11090078138451,-1.03607796613744,0.0377769231209189,1.62246416285901,0.780530313016885,-0.460679107819942,0.52207763002488
"1405",1405,1405,156365,-0.221367017182828,-0.637069251706588,1.11141457007338,-0.245308008257399,0.171512794636031,-0.670505071155063,-0.244169383847135,-0.484606937154651,-0.0651573573484771,1.01154282445678,-0.600266018113149,-0.973597905190817,0.521486071507518
"2425",2425,2425,190549,0.141331270364985,0.182792775558212,0.940230752758955,-1.21464747582188,-1.6180954770741,0.576652398981649,-0.65638652481915,-0.195593629028034,0.79949059859445,1.51620974686217,0.239558602267444,-0.218649157672695,0.52109877361731
"258",258,258,111081,-0.53466713305235,-0.120443864663016,0.892368248144932,3.73791895184319,-2.14028392971805,0.813816770351909,2.94114488730025,-0.927200058328642,-0.0514327866192243,1.73093763735301,0.798109895936365,0.520138607482655,0.51444395244023
"671",671,671,130183,0.0483202984662206,-0.433114533691126,0.610954571139473,1.99875252754798,0.858350951871664,-1.14738946444914,-0.534595096804691,-0.277030763324049,0.271094625518217,0.100427062391206,-0.847578786912192,-0.918573608098518,0.51034646840433
"3107",3107,3107,208646,-0.714458676818383,-0.447939436101941,1.10768879865717,-0.0243355467798671,-0.237239669670053,-0.652615517280151,0.505316327011074,-0.205773270815036,0.298543766976722,0.695773381136566,-0.961446539913367,-0.918573608098518,0.501669501391137
"1429",1429,1429,157076,-0.188434902730634,-0.650097196249426,1.01913116579273,0.170624853311257,-0.402846639986101,-0.259045332032091,0.224259185439246,-0.138499116396589,0.140711203590315,0.840180480543693,-0.42247250904114,-0.781205258014945,0.498208118320699
"606",606,606,127565,-0.576054790404432,0.245237061470435,1.06269724726908,-0.697137514539298,-0.192726813486838,-0.419540186795585,0.275786328060748,-0.682888655440599,0.380891191352239,0.417921947074614,-1.16920524714358,-0.932041093400829,0.497713033231038
"2454",2454,2454,191205,0.0910430415393372,-0.0301467317971391,0.871315976598408,0.783729140188883,-0.623017756591252,-0.389383510263591,1.53585917944111,-0.332354903470797,0.0446392084855453,0.809196746103663,-0.458830282806427,-0.730413599160515,0.497072776222279
"705",705,705,131520,3.20713311443478,-0.71164300322766,0.373843195940102,0.9693251981809,-0.992043693335972,0.732035952638026,2.33218774722796,-0.216838098844386,0.902424879063846,1.87986281411575,0.8620356520072,-0.204027316487328,0.49620284864751
"2309",2309,2309,186618,0.39366247164058,0.0794676981494971,0.915750194435547,0.770462988881815,-0.552658725850041,-0.151708008782619,0.973744896297455,-0.619597839112718,0.826939740052955,1.38870045417567,0.511642601543936,-0.361789287171544,0.495522355500617
"192",192,192,108092,-0.637913762145716,-0.3306879352164,0.670458576206012,-1.06676890684015,-0.614880997934105,-0.234511086717926,-0.829236666885825,-0.109287970399106,-0.195540779276379,0.44826758334283,-0.806027045466149,-0.736954949164495,0.493491808436003
"293",293,293,112570,-0.00463810180149692,0.208399425176893,0.383123921999387,1.32438983610536,0.447683956116839,-0.0361926037617602,2.2277281762771,-0.0575045752217489,-0.15436706708862,1.19415852519389,-0.200730042670431,-0.300223640075265,0.492437805156249
"2263",2263,2263,184773,-0.210241302840871,-0.245332436487462,1.00001921832345,0.411886722670187,-0.0515301191422306,-0.0453929457545715,1.20795918094065,-0.51337549003096,0.744592315677438,1.3804484181148,-0.158778765248946,-0.411041804848567,0.492200206715506
"3486",3486,3486,218654,0.0349694412558716,-0.462315099045762,0.649648431977299,-0.044624954661265,-0.569410876026519,-1.02420710776761,-0.244169383847135,-0.642612681413765,-0.0445705012545979,0.455590566938826,-0.333775522492856,-0.88817556984473,0.491572863308624
